rank,Youtuber,category,Country,created_year,created_month,created_date
222,Indosiar,Music,Indonesia,2013.0,Sep,23.0
223,VanossGaming,Gaming,Canada,2011.0,Sep,15.0
224,David Guetta,Music,United States,2009.0,Dec,11.0
225,LosPolinesios,People & Blogs,Mexico,2012.0,Dec,16.0
226,Nicki Minaj,Music,United States,2013.0,Aug,28.0
227,Fede Vigevani,Howto & Style,,2019.0,Aug,1.0
228,TaylorSwiftVEVO,Music,United States,2009.0,May,12.0
229,ZHC,Film & Animation,,2006.0,Jan,24.0
230,Post Malone,Music,United States,2011.0,Dec,15.0
231,Rans Entertainment,People & Blogs,Indonesia,2015.0,Dec,27.0
232,LankyBox,Comedy,United States,2016.0,Jul,30.0
233,Coldplay,Music,United Kingdom,2010.0,Jan,3.0
234,Las Ratitas,People & Blogs,,2019.0,May,31.0
235,WB Kids,People & Blogs,United States,2015.0,Mar,31.0
236,ABPLIVE,People & Blogs,,2014.0,Jul,26.0
237,Chris Brown,Music,,,,
238,The Lallantop,News & Politics,India,2015.0,Mar,23.0
239,RihannaVEVO,Music,United States,2009.0,May,12.0
240,WatchMojo.com,Music,Canada,2007.0,Jan,25.0
241,TRANS7 OFFICIAL,Entertainment,Indonesia,2014.0,Sep,4.0
242,Anuel AA,Music,Colombia,2016.0,Sep,8.0
243,Dan Rhodes,Entertainment,United Kingdom,2015.0,Oct,30.0
244,Yuya,Howto & Style,Mexico,2009.0,Sep,20.0
245,America's Got Talent,Entertainment,United States,2006.0,Jun,29.0
246,mujjuu___14,People & Blogs,,2020.0,May,18.0
247,EminemVEVO,Music,United States,2009.0,May,12.0
248,Chloe Ting,Howto & Style,Australia,2011.0,Aug,17.0
249,KatyPerryVEVO,Music,United States,2009.0,Dec,13.0
250,Mark Rober,Science & Technology,United States,2011.0,Oct,20.0
251,1theK (ï¿½ï¿½ï¿½ï¿½ï,Music,South Korea,2011.0,Jan,31.0
252,Like Nastya AE,Entertainment,United States,2018.0,Dec,19.0
253,Amit Bhadana,Entertainment,,2009.0,Dec,31.0
254,Pen Movies,Film & Animation,India,2014.0,Mar,25.0
255,MrBeast en Espaï¿½ï,Entertainment,Mexico,2021.0,Jul,9.0
256,shfa show India,,United Arab Emirates,2019.0,Apr,1.0
257,Super JoJo - Nursery Rhymes & Kids Songs,,United States,2019.0,May,31.0
258,Alejo Igoa,Comedy,Argentina,2014.0,Jan,17.0
259,Daniel LaBelle,Comedy,,2009.0,Mar,11.0
260,netd mï¿½ï¿,Music,Turkey,2014.0,Jan,23.0
261,DJ Snake,Music,United States,2008.0,Sep,24.0
262,Diana and Roma ARA,,United States,2019.0,Feb,1.0
263,KSI,Entertainment,United Kingdom,2009.0,Jul,25.0
264,Spider Slack,Comedy,Brazil,2020.0,May,18.0
265,Goldmines Movies,Film & Animation,,2018.0,Apr,30.0
266,Preston,Gaming,United States,2012.0,Jul,4.0
267,James Charles,Entertainment,United States,2015.0,Dec,1.0
268,Collins Key,Entertainment,United States,2011.0,Aug,9.0
269,Diana and Roma EN,People & Blogs,United States,2011.0,Dec,22.0
270,Venus Entertainment,Entertainment,,2016.0,May,17.0
271,Troom Troom,Howto & Style,United States,2015.0,Sep,12.0
272,Enrique Iglesias,Music,United States,2007.0,Apr,12.0
273,Ninja,Gaming,United States,2011.0,Nov,11.0
274,FaZe Rug,Gaming,Canada,2012.0,Nov,30.0
275,Mister Max,People & Blogs,United Kingdom,2014.0,Sep,22.0
276,That Little Puff,Pets & Animals,United States,2020.0,Aug,29.0
277,NickyJamTV,Music,,2012.0,Jan,10.0
